2025-02-10T08:13:15.681437,SAV001,500.00
2025-02-10T08:13:15.681748,CHK001,-300.00
2025-02-10T14:55:09.998089,SAV001,500.00
2025-02-10T14:55:09.998477,CHK001,-300.00
2025-02-18T01:15:05.577063300,SAV001,500.00
2025-02-18T01:15:05.583065300,CHK001,-300.00
2025-02-18T11:02:49.642787700,SAV001,500.00
2025-02-18T11:02:49.649790900,CHK001,-300.00
2025-02-18T13:11:05.873476500,SAV001,500.00
2025-02-18T13:11:05.875473500,CHK001,-300.00
2025-02-18T13:12:41.809480900,SAV001,500.00
2025-02-18T13:12:41.810481700,CHK001,-300.00
2025-02-18T13:59:43.716510200,SAV001,500.00
2025-02-18T13:59:43.717510800,CHK001,-300.00
2025-02-18T14:08:50.870978700,SAV001,500.00
2025-02-18T14:08:50.871978,CHK001,-300.00
2025-02-18T14:12:21.519045700,SAV001,500.00
2025-02-18T14:12:21.520044300,CHK001,-300.00
2025-02-18T14:16:08.021964100,SAV001,500.00
2025-02-18T14:16:08.023965500,CHK001,-300.00
2025-02-18T15:22:46.626135400,SAV001,500.00
2025-02-18T15:22:46.627137,CHK001,-300.00
2025-02-18T15:23:59.846781700,SAV001,500.00
2025-02-18T15:23:59.847783700,CHK001,-300.00
2025-02-18T15:26:00.769868500,SAV001,500.00
2025-02-18T15:26:00.770867700,CHK001,-300.00
2025-02-18T15:27:20.763684800,SAV001,500.00
2025-02-18T15:27:20.765679200,CHK001,-300.00
2025-02-18T15:28:18.874859200,SAV001,500.00
2025-02-18T15:28:18.874859200,CHK001,-300.00
2025-02-18T15:37:45.177906700,SAV001,500.00
2025-02-18T15:37:45.178901100,CHK001,-300.00
2025-02-19T10:53:12.288074700,SAV001,500.00
2025-02-19T10:53:12.289070200,CHK001,-300.00
2025-02-19T15:37:43.451223400,SAV1000,900.00
2025-02-19T15:43:31.538495100,SAV1000,90.00
2025-02-19T18:41:14.699481700,CHK1000,900.00
2025-02-19T18:45:22.510929600,SAV1000,500.00
2025-02-19T18:46:13.534279300,CHK1000,-90.00
2025-02-19T18:54:37.603902900,SAV1000,900.00
2025-02-19T18:54:49.900749300,CHK1000,-50.00
2025-02-19T19:04:21.954433400,SAV1000,800.00
2025-02-19T19:05:15.574780400,CHK1000,-40.00
